symbol,name,theme
NVDA,NVIDIA Corporation,AI
MSFT,Microsoft Corporation,AI
PLTR,Palantir Technologies Inc.,AI
AI,"C3.ai, Inc.",AI
ISRG,"Intuitive Surgical, Inc.",Robotics
TER,"Teradyne, Inc.",Robotics
SYM,"Symbotic Inc.",Robotics
RKLB,"Rocket Lab USA, Inc.",Space
IRDM,"Iridium Communications Inc.",Space
VSAT,"Viasat, Inc.",Space
INOD,Innodata Inc.,AI
SOUN,"SoundHound AI, Inc.",AI
MNDY,"Monday.com Ltd.",AI
AVAV,"AeroVironment, Inc.",Robotics
PERF,"Perfect Corp.",AI
GDRX,"GoodRx Holdings, Inc.",AI
ABCL,"AbCellera Biologics Inc.",AI
U,"Unity Software Inc.",AI
TEM,"Tempus AI, Inc.",AI
VRT,"Vertiv Holdings Co",AI
