symbol,name,theme
NVDA,NVIDIA Corporation,AI
MSFT,Microsoft Corporation,AI
PLTR,Palantir Technologies Inc.,AI
AI,"C3.ai, Inc.",AI
ISRG,"Intuitive Surgical, Inc.",Robotics
TER,"Teradyne, Inc.",Robotics
SYM,"Symbotic Inc.",Robotics
RKLB,"Rocket Lab USA, Inc.",Space
IRDM,"Iridium Communications Inc.",Space
VSAT,"Viasat, Inc.",Space
INOD,Innodata Inc.,AI
SOUN,"SoundHound AI, Inc.",AI
MNDY,"Monday.com Ltd.",AI
AVAV,"AeroVironment, Inc.",Robotics
PERF,"Perfect Corp.",AI
GDRX,"GoodRx Holdings, Inc.",AI
ABCL,"AbCellera Biologics Inc.",AI
U,"Unity Software Inc.",AI
TEM,"Tempus AI, Inc.",AI
VRT,"Vertiv Holdings Co",AI
OII,Oceaneering International Inc.,Energy
CGNX,Cognex Corporation,Robotics
KTOS,Kratos Defense & Security Solutions Inc.,Robotics
OUST,Ouster Inc.,Robotics
FTI,TechnipFMC plc,Energy
LNG,Cheniere Energy Inc.,Energy
PR,Permian Resources Corporation,Energy
MTDR,Matador Resources Company,Energy
ROK,Rockwell Automation Inc.,Robotics
IONQ,IonQ Inc.,AI
OXY,Occidental Petroleum Corporation,Energy
RCAT,Red Cat Holdings Inc.,Robotics
HIMS,Hims & Hers Health Inc.,Digital Health
RBRK,Rubrik Inc.,Cybersecurity
CRDO,Credo Technology Group Holding Ltd,AI Infrastructure
ALAB,Astera Labs Inc.,AI Infrastructure
SERV,Serve Robotics Inc.,Robotics
PDYN,Palladyne AI Corp.,Robotics
AEVA,Aeva Technologies Inc.,Robotics
PRCT,PROCEPT BioRobotics Corporation,Robotics
LUNR,Intuitive Machines Inc.,Space
ASTS,AST SpaceMobile Inc.,Space
NBIS,Nebius Group N.V.,AI Infrastructure
S,SentinelOne Inc.,Cybersecurity
ESTC,Elastic N.V.,AI
RXRX,Recursion Pharmaceuticals Inc.,AI
TMDX,TransMedics Group Inc.,Robotics
